Title,Authors,Platform,Cited_url,Cited_count,Year
Optimizing the channel selection and classification accuracy in EEG-based BCI,"M Arvaneh, C Guan, KK Ang, C Quek","IEEE Transactions on Biomedical Engineering 58 (6), 1865-1873",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11639369187712672949,247,2011
GenSoFNN: A generic self-organizing fuzzy neural network,"WL Tung, C Quek","IEEE Transactions on Neural Networks 13 (5), 1075-1086",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18093137438597695824,186,2002
POP-TRAFFIC: A novel fuzzy neural approach to road traffic analysis and prediction,"C Quek, M Pasquier, BBS Lim","IEEE transactions on intelligent transportation systems 7 (2), 133-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1768279083299362604,179,2006
GenSo-EWS: a novel neural-fuzzy based early warning system for predicting bank failures,"WL Tung, C Quek, P Cheng","Neural networks 17 (4), 567-587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9202815967775237811,145,2004
Load fatigue performance of a single-tooth implant abutment system: effect of diameter.,"CE Quek, KB Tan, JI Nicholls",International Journal of Oral & Maxillofacial Implants 21 (6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2008514553172803872,128,2006
Stock trading using RSPOP: A novel rough set-based neuro-fuzzy approach,"KK Ang, C Quek","IEEE Transactions on Neural Networks 17 (5), 1301-1315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1312329454569370768,126,2006
A novel cognitive interpretation of breast cancer thermography with complementary learning fuzzy neural memory structure,"TZ Tan, C Quek, GS Ng, EYK Ng","Expert Systems with Applications 33 (3), 652-666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10858944888216798263,119,2007
POPFNN-CRI (S): pseudo outer product based fuzzy neural network using the compositional rule of inference and singleton fuzzifier,"KK Ang, C Quek, M Pasquier","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 33 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=830505113069226658,118,2003
POPFNN: A pseudo outer-product based fuzzy neural network,"RW Zhou, C Quek","Neural Networks 9 (9), 1569-1581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17651595504239283206,114,1996
A novel application of a neuro-fuzzy computational technique in event-based rainfall–runoff modeling,"A Talei, LHC Chua, C Quek","Expert Systems with Applications 37 (12), 7456-7468",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5247385132834222841,108,2010
Optimizing spatial filters by minimizing within-class dissimilarities in electroencephalogram-based brain–computer interface,"M Arvaneh, C Guan, KK Ang, C Quek","IEEE transactions on neural networks and learning systems 24 (4), 610-619",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10198717863878508904,104,2013
RSPOP: Rough Set–Based Pseudo Outer-Product Fuzzy Rule Identification Algorithm,"KK Ang, C Quek","Neural Computation 17 (1), 205-243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9113658727371057429,104,2005
GA-TSKfnn: Parameters tuning of fuzzy neural network using genetic algorithms,"AM Tang, C Quek, GS Ng","Expert Systems with Applications 29 (4), 769-781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8482518815166020409,99,2005
"ElliFit: An unconstrained, non-iterative, least squares based geometric Ellipse Fitting method","DK Prasad, MKH Leung, C Quek","Pattern Recognition 46 (5), 1449-1465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8168926192082383738,94,2013
A novel single-pass thinning algorithm and an effective set of performance criteria,"RW Zhou, C Quek, GS Ng","Pattern Recognition Letters 16 (12), 1267-1275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3120009121654699257,92,1995
Antiforgery: a novel pseudo-outer product based fuzzy neural network driven signature verification system,"C Quek, RW Zhou","Pattern Recognition Letters 23 (14), 1795-1816",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14028971027910441637,89,2002
eT2FIS: An evolving type-2 neural fuzzy inference system,"SW Tung, C Quek, C Guan","Information Sciences 220, 124-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12663532422129479083,84,2013
Fuzzylot: a novel self-organising fuzzy-neural rule-based pilot system for automated vehicles,"M Pasquier, C Quek, M Toh","Neural networks 14 (8), 1099-1112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3678442190515552072,75,2001
Driving profile modeling and recognition based on soft computing approach,"A Wahab, C Quek, CK Tan, K Takeda","IEEE transactions on neural networks 20 (4), 563-582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2185953967338363038,72,2009
Cultural dependency analysis for understanding speech emotion,"N Kamaruddin, A Wahab, C Quek","Expert Systems with Applications 39 (5), 5115-5133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2540217312309425371,70,2012
Stock trading with cycles: A financial application of ANFIS and reinforcement learning,"Z Tan, C Quek, PYK Cheng","Expert Systems with Applications 38 (5), 4741-4755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16613147440934660684,67,2011
GenSo-FDSS: a neural-fuzzy decision support system for pediatric ALL cancer subtype identification using gene expression data,"WL Tung, C Quek","Artificial intelligence in medicine 33 (1), 61-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10488866326433751383,63,2005
The POP learning algorithms: reducing work in identifying fuzzy rules,"C Quek, RW Zhou","Neural Networks 14 (10), 1431-1445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7977619890428825592,63,2001
POPFNN-AAR (S): a pseudo outer-product based fuzzy neural network,"C Quek, RW Zhou","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 29 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10095570960675106425,63,1999
Ovarian cancer diagnosis with complementary learning fuzzy neural network,"TZ Tan, C Quek, GS Ng, K Razvi","Artificial intelligence in medicine 43 (3), 207-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6921008464696438345,62,2008
Video processing from electro-optical sensors for object detection and tracking in a maritime environment: a survey,"DK Prasad, D Rajan, L Rachmawati, E Rajabally, C Quek","IEEE Transactions on Intelligent Transportation Systems 18 (8), 1993-2016",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10400453028575070471,60,2017
A Brain-Computer Interface for classifying EEG correlates of chronic mental stress,"R Khosrowabadi, C Quek, KK Ang, SW Tung, M Heijnen","The 2011 International Joint Conference on Neural Networks, 757-762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18308332775795218909,60,2011
Financial market trading system with a hierarchical coevolutionary fuzzy predictive model,"H Huang, M Pasquier, C Quek","IEEE transactions on Evolutionary Computation 13 (1), 56-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12613124008403035229,60,2009
FCMAC-EWS: A bank failure early warning system based on a novel localized pattern learning and semantically associative fuzzy neural network,"GS Ng, C Quek, H Jiang","Expert Systems with Applications 34 (2), 989-1003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7565895488836867532,60,2008
A novel generic hebbian ordering-based fuzzy rule base reduction approach to Mamdani neuro-fuzzy system,"F Liu, C Quek, GS Ng","Neural Computation 19 (6), 1656-1680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5887055694047980203,60,2007
Brain-inspired genetic complementary learning for stock market prediction,"TZ Tan, C Quek, GS Ng","2005 IEEE Congress on Evolutionary Computation 3, 2653-2660",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=442608058684121270,60,2005
Pseudo-outer product based fuzzy neural network fingerprint verification system,"C Quek, KB Tan, VK Sagar","Neural Networks 14 (3), 305-323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6440472154190933882,60,2001
ERNN: A biologically inspired feedforward neural network to discriminate emotion from EEG signal,"R Khosrowabadi, C Quek, KK Ang, A Wahab","IEEE transactions on neural networks and learning systems 25 (3), 609-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10486184336704305208,59,2013
EEG data space adaptation to reduce intersession nonstationarity in brain-computer interface,"M Arvaneh, C Guan, KK Ang, C Quek","Neural computation 25 (8), 2146-2171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12947717853926766842,58,2013
eFSM—A novel online neural-fuzzy semantic memory model,"WL Tung, C Quek","IEEE Transactions on Neural Networks 21 (1), 136-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11451895015025985828,57,2009
FCMAC-Yager: A novel Yager-inference-scheme-based fuzzy CMAC,"J Sim, WL Tung, C Quek","IEEE Transactions on Neural Networks 17 (6), 1394-1410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9673849282711201903,55,2006
A novel approach to the derivation of fuzzy membership functions using the Falcon-MART architecture,"C Quek, WL Tung","Pattern Recognition Letters 22 (9), 941-958",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14474123712635035013,55,2001
A novel framework for making dominant point detection methods non-parametric,"DK Prasad, MKH Leung, C Quek, SY Cho","Image and Vision Computing 30 (11), 843-859",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9716345362959443906,54,2012
Falcon: neural fuzzy control and decision systems using FKP and PFKP clustering algorithms,"WL Tung, C Quek","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 34 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12437202794960417463,53,2004
Runoff forecasting using a Takagi–Sugeno neuro-fuzzy model with online learning,"A Talei, LHC Chua, C Quek, PE Jansson","Journal of Hydrology 488, 17-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11657592121348531682,51,2013
Backward fuzzy rule interpolation,"S Jin, R Diao, C Quek, Q Shen","IEEE Transactions on Fuzzy Systems 22 (6), 1682-1698",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7355069690493455023,50,2014
A novel self-organizing fuzzy rule-based system for modelling traffic flow behaviour,"C Quek, M Pasquier, B Lim","Expert Systems with applications 36 (10), 12167-12178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8017195211180359117,50,2009
FITSK: online local learning with generic fuzzy input Takagi-Sugeno-Kang fuzzy framework for nonlinear system estimation,"KH Quah, C Quek","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 36 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13648181053682104565,50,2006
FCMAC-BYY: fuzzy CMAC using Bayesian Ying–Yang learning,"MN Nguyen, D Shi, C Quek","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 36 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1699097600975167519,47,2006
Financial volatility trading using a self-organising neural-fuzzy semantic network and option straddle-based approach,"WL Tung, C Quek","Expert Systems with Applications 38 (5), 4668-4688",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10949773154033697663,46,2011
Repair of new-generation tooth-colored restoratives: methods of surface conditioning to achieve bonding,"AUJ Yap, CEY Quek, CH Kau","Operative Dentistry 23, 173-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11127014838713517272,45,1998
Chance discoveries in real world decision making: data-based interaction of human intelligence and artificial intelligence,"Y Ohsawa, S Tsumoto",Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4054549651236408003,44,2006
BIOLOGICAL BRAIN‐INSPIRED GENETIC COMPLEMENTARY LEARNING FOR STOCK MARKET AND BANK FAILURE PREDICTION,"TZ Tan, C Quek, GS Ng","Computational Intelligence 23 (2), 236-261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4411247615311428634,42,2007
Predicting the impact of anticipatory action on US stock market—An event study using ANFIS (a neural fuzzy model),"P Cheng, C Quek, ML Mah","Computational Intelligence 23 (2), 117-141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14363481955863942472,41,2007
RLDDE: A novel reinforcement learning-based dimension and delay estimator for neural networks in time series prediction,"F Liu, GS Ng, C Quek","Neurocomputing 70 (7-9), 1331-1341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17356135395840764493,41,2007
DIC: A novel discrete incremental clustering technique for the derivation of fuzzy membership functions,"WL Tung, C Quek","Pacific Rim International Conference on Artificial Intelligence, 178-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10275437830277682708,40,2002
MCMAC–CVT: a novel on-line associative memory based CVT transmission control system,"KK Ang, C Quek, A Wahab","Neural Networks 15 (2), 219-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14648087793263613763,40,2002
A Novel Blood Glucose Regulation Using TSK,"CW Ting, C Quek","IEEE Transactions on Neural Networks 20 (5), 856-871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6474125098727301437,39,2009
A parameter independent line fitting method,"DK Prasad, C Quek, MKH Leung, SY Cho","The First Asian Conference on Pattern Recognition, 441-445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3344199868974705794,38,2011
MCES: a novel Monte Carlo evaluative selection approach for objective feature selections,"KH Quah, C Quek","IEEE Transactions on Neural Networks 18 (2), 431-448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14717262907631448567,38,2007
SaFIN: A self-adaptive fuzzy inference network,"SW Tung, C Quek, C Guan","IEEE Transactions on Neural Networks 22 (12), 1928-1940",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4406182508221284765,37,2011
Hierarchically clustered adaptive quantization CMAC and its learning convergence,"SD Teddy, EMK Lai, C Quek","IEEE Transactions on Neural Networks 18 (6), 1658-1682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8772727788581016339,36,2007
POP-Yager: A novel self-organizing fuzzy neural network based on the Yager inference,"C Quek, A Singh","Expert Systems with Applications 29 (1), 229-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11328483475662260242,34,2005
A novel neuro-cognitive approach to modeling traffic control and flow based on fuzzy neural techniques,"Y Chong, C Quek, P Loh","Expert Systems with Applications 36 (3), 4788-4803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18106085174904496234,33,2009
Ovarian cancer diagnosis by hippocampus and neocortex-inspired learning memory structures,"TZ Tan, C Quek, GS Ng","Neural Networks 18 (5-6), 818-825",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1236377575549330398,33,2005
Rough set-based neuro-fuzzy system,"KK Ang, C Quek",The 2006 IEEE International Joint Conference on Neural Network Proceedings …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12699631676940007154,32,2006
Novel self-organizing Takagi Sugeno Kang fuzzy neural networks based on ART-like clustering,"D Wang, C Quek, GS Ng","Neural Processing Letters 20 (1), 39-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7432351838175031896,32,2004
Rough-fuzzy rule interpolation,"C Chen, N Mac Parthaláin, Y Li, C Price, C Quek, Q Shen","Information Sciences 351, 1-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6847010628127954047,31,2016
HebbR2-Taffic: A novel application of neuro-fuzzy network for visual based traffic monitoring system,"SY Cho, C Quek, SX Seah, CH Chong","Expert Systems with Applications 36 (3), 6343-6356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=562556747313585636,31,2009
TAP: a software architecture for an inquiry dialogue-based tutoring system,"LH Wong, C Quek, CK Looi","IEEE Transactions on Systems, Man, and Cybernetics-Part A: Systems and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=942100436341144084,31,1998
Towards dynamic fuzzy rule interpolation,"N Naik, R Diao, C Quek, Q Shen","2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE), 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7100096464401198142,30,2013
An automatic fuzzy neural network driven signature verification system,"RW Zhou, C Quek","Proceedings of International Conference on Neural Networks (ICNN'96) 2, 1034 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15656915568774894593,30,1996
Integrating adaptive and intelligent techniques into a web-based environment for active learning,"H Shi, O Rodriguez, Y Shang, S Chen","Intelligent systems: Technology and applications 4, 229-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9341793615741922339,29,2002
A BCM theory of meta-plasticity for online self-reorganizing fuzzy-associative learning,"J Tan, C Quek","IEEE Transactions on Neural Networks 21 (6), 985-1003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13398883229248358841,27,2010
"Improved MCMAC with momentum, neighborhood, and averaged trapezoidal output","KK Ang, C Quek","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 30 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11601972188883303137,27,2000
Architecture for integrated process supervision,"R Leitch, C Quek","IEE Proceedings D (Control Theory and Applications) 139 (3), 317-327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2082041012939570412,27,1992
A novel recurrent neural network-based prediction system for option trading and hedging,"C Quek, M Pasquier, N Kumar","Applied Intelligence 29 (2), 138-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16922646801620741449,26,2008
PSECMAC: A novel self-organizing multiresolution associative memory architecture,"SD Teddy, C Quek, EMK Lai","IEEE transactions on neural networks 19 (4), 689-712",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10622186983233674274,26,2008
A novel fuzzy neural approach to data reconstruction and failure prediction,"C Quek, RW Zhou, CH Lee","Intelligent Systems in Accounting, Finance & Management: International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14737976940478489638,24,2009
GenSoFNN-Yager: A novel brain-inspired generic self-organizing neuro-fuzzy system realizing Yager inference,"RJ Oentaryo, M Pasquier, C Quek","Expert Systems with Applications 35 (4), 1825-1840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1472753155117337296,24,2008
EpiList: An intelligent tutoring system shell for implicit development of generic cognitive skills that support bottom-up knowledge construction,"GM Goh, C Quek","IEEE Transactions on Systems, Man, and Cybernetics-Part A: Systems and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7609847712059067001,24,2006
A novel single pass thinning algorithm,"GS Ng, RW Zhou, C Quek","IEEE Transaction on System Man and Cybernetics, 621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15379839128427893302,24,1994
A fully-online Neuro-Fuzzy model for flow forecasting in basins with limited data,"M Ashrafi, LHC Chua, C Quek, X Qin","Journal of hydrology 545, 424-435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7108060167482064220,23,2017
A Mamdani-Takagi-Sugeno based linguistic neural-fuzzy inference system for improved interpretability-accuracy representation,"WL Tung, C Quek","2009 IEEE International Conference on Fuzzy Systems, 367-372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8541859163922378304,23,2009
Structure and learning algorithms of a nonsingleton input fuzzy neural network based on the approximate analogical reasoning schema,"C Quek, RW Zhou","Fuzzy Sets and Systems 157 (13), 1814-1831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18287457646720177827,23,2006
Neural network model for time series prediction by reinforcement learning,"F Liu, C Quek, GS Ng",Proceedings. 2005 IEEE International Joint Conference on Neural Networks …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3590619861717578460,23,2005
R-POPTVR: a novel reinforcement-based POPTVR fuzzy neural network for pattern classification,"WC Wong, SY Cho, C Quek","IEEE transactions on neural networks 20 (11), 1740-1755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10866076992934629528,22,2009
A personalized approach to insulin regulation using brain-inspired neural sematic memory in diabetic glucose control,"HK Phee, WL Tung, C Quek","2007 IEEE Congress on Evolutionary Computation, 2644-2651",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=153550980559804981,22,2007
Maximizing winning trades using a novel RSPOP fuzzy neural network intelligent stock trading system,"A Tan, C Quek, KC Yow","Applied Intelligence 29 (2), 116-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10593719776756690967,21,2008
DCBAM: A discrete chainable bidirectional associative memory,"RW Zhou, C Quek","Pattern Recognition Letters 17 (9), 985-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18070373863948993349,21,1996
Reinforcement learning combined with a fuzzy adaptive learning control network (FALCON-R) for pattern classification,"KH Quah, C Quek, G Leedham","Pattern Recognition 38 (4), 513-526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10759307209138095954,20,2005
Challenges in video based object detection in maritime scenario using computer vision,"DK Prasad, CK Prasath, D Rajan, L Rachmawati, E Rajabaly, C Quek",arXiv preprint arXiv:1608.01079,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17044073266792460704,19,2016
Ovarian cancer diagnosis using a hybrid intelligent system with simple yet convincing rules,"D Wang, C Quek, GS Ng","Applied Soft Computing 20, 25-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17452438787639652914,19,2014
A novel brain-inspired neural cognitive approach to SARS thermal image analysis,"C Quek, W Irawan, EYK Ng","Expert Systems with Applications 37 (4), 3040-3054",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8963300671268181856,19,2010
Model reference adaptive control on glucose for the treatment of diabetes mellitus,"A Wahab, YK Kong, C Quek","19th IEEE Symposium on Computer-Based Medical Systems (CBMS'06), 315-320",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1826436787510801395,19,2006
MSCM-LiFe: multi-scale cross modal linear feature for horizon detection in maritime images,"DK Prasad, D Rajan, CK Prasath, L Rachmawati, E Rajabally, C Quek","2016 IEEE region 10 conference (TENCON), 1366-1370",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16862987381843025377,18,2016
Robust EEG channel selection across sessions in brain-computer interface involving stroke patients,"M Arvaneh, C Guan, KK Ang, C Quek","The 2012 International Joint Conference on Neural Networks (IJCNN), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4385589242598685450,18,2012
ARPOP: an appetitive reward-based pseudo-outer-product neural fuzzy inference system inspired from the operant conditioning of feeding behavior in aplysia,"EY Cheu, C Quek, SK Ng","IEEE Transactions on Neural Networks and Learning Systems 23 (2), 317-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11154515527429437803,18,2012
DCT-Yager FNN: A novel Yager-based fuzzy neural network with the discrete clustering technique,"A Singh, C Quek, SY Cho","IEEE transactions on neural networks 19 (4), 625-644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14279508296695612222,18,2008
Maximum reward reinforcement learning: A non-cumulative reward criterion,"KH Quah, C Quek","Expert Systems with applications 31 (2), 351-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6926824055862014669,18,2006
Supervised pseudo self-evolving cerebellar algorithm for generating fuzzy membership functions,"KK Ang, C Quek","Expert Systems with Applications 39 (3), 2279-2287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10420534937584984456,17,2012
A nature inspired Ying–Yang approach for intelligent decision support in bank solvency analysis,"MN Nguyen, D Shi, C Quek","Expert Systems with Applications 34 (4), 2576-2587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3226547885151852589,17,2008
Self-organizing gaussian fuzzy CMAC with truth value restriction,"MN Nguyen, D Shi, C Quek",Third International Conference on Information Technology and Applications …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4818809316627219707,17,2005
Scale and move transformation-based fuzzy rule interpolation with interval type-2 fuzzy sets,"C Chen, C Quek, Q Shen","2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10743182370957484851,16,2013
A foreign exchange portfolio management mechanism based on fuzzy neural networks,"S Yao, M Pasquier, C Quek","2007 IEEE Congress on Evolutionary Computation, 2576-2583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4044285391217661798,16,2007
GSETSK: a generic self-evolving TSK fuzzy neural network with a novel Hebbian-based rule reduction approach,"NN Nguyen, WJ Zhou, C Quek","Applied Soft Computing 35, 29-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8730463073398042208,15,2015
Omitting the intra-session calibration in EEG-based brain computer interface used for stroke rehabilitation,"M Arvaneh, C Guan, KK Ang, C Quek",2012 Annual International Conference of the IEEE Engineering in Medicine and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11516185708666035027,15,2012
RFCMAC: A novel reduced localized neuro-fuzzy system approach to knowledge extraction,"RJ Oentaryo, M Pasquier, C Quek","Expert Systems with Applications 38 (10), 12066-12084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16196832283167193373,15,2011
A novel biologically and psychologically inspired fuzzy decision support system: Hierarchical complementary learning,"TZ Tan, GS Ng, C Quek","IEEE/ACM transactions on computational biology and bioinformatics 5 (1), 67-79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14076447246683081638,15,2008
Curvature-based method for determining the number of clusters,"Y Zhang, J Mańdziuk, CH Quek, BW Goh","Information Sciences 415, 414-428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3376392773322628465,14,2017
Fuzzy associative conjuncted maps network,"H Goh, JH Lim, C Quek","IEEE Transactions on Neural Networks 20 (8), 1302-1319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12385888625145884625,14,2009
Adaptive control of infusion pump for Type-I diabetes control using a self-tuning regulator,"W Goh, M Pasquier, C Quek","2008 10th International Conference on Control, Automation, Robotics and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4922444095458711540,14,2008
Product demand forecasting with a novel fuzzy CMAC,"D Shi, C Quek, R Tilani, J Fu","Neural Processing Letters 25 (1), 63-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14364256112094310519,14,2007
Real-time integrated process supervision,"C Quek, A Wahab","Engineering Applications of Artificial Intelligence 13 (6), 645-658",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15453382679170577535,14,2000
Analytical exploration of energy savings for parked vehicles to enhance VANET connectivity,"G Sun, M Yu, D Liao, V Chang","IEEE Transactions on Intelligent Transportation Systems 20 (5), 1749-1761",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11952774307927944279,13,2018
Stock price prediction using generic self-evolving takagi-sugeno-kang (gsetsk) fuzzy neural network,"NN Nguyen, C Quek","The 2010 International Joint Conference on Neural Networks (IJCNN), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13470785526886433239,13,2010
A cerebellar associative memory approach to option pricing and arbitrage trading,"SD Teddy, EMK Lai, C Quek","Neurocomputing 71 (16-18), 3303-3315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2369674592345004009,13,2008
Type-2 GA-TSK fuzzy neural network,"A Cai, C Quek, DL Maskell","2007 IEEE Congress on evolutionary computation, 1578-1585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1207242277511873862,13,2007
Backward fuzzy rule interpolation with multiple missing values,"S Jin, R Diao, C Quek, Q Shen","2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6003519608163225278,12,2013
Decision support system based on hierarchical co-evolutionary fuzzy approach: A case study in detecting gamma ray signals,"H Huang, M Pasquier, C Quek","Expert Systems with Applications 38 (9), 10719-10729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15239106555571519505,12,2011
Thermal facial pattern recognition for personal verification using fuzzy cmac model,"SY Cho, CW Ting, C Quek","International Journal of Innovative Computing, Information and Control 7 (1 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1705734236012749569,12,2011
Epilist II: Closing the loop in the development of generic cognitive skills,"GM Goh, C Quek, DL Maskell","IEEE Transactions on Systems, Man, and Cybernetics-Part A: Systems and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3583303590361131930,12,2010
PSECMAC intelligent insulin schedule for diabetic blood glucose management under nonmeal announcement,"SD Teddy, C Quek, EMK Lai, A Cinar","IEEE transactions on neural networks 21 (3), 361-380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11158315199010284371,12,2010
